{'loss': 1.4424, 'grad_norm': 0.5295203328132629, 'learning_rate': 0.0001963094393186657, 'epoch': 0.08}
{'loss': 1.3575, 'grad_norm': 0.5216801166534424, 'learning_rate': 0.00019623846699787082, 'epoch': 0.08}
{'loss': 1.2319, 'grad_norm': 0.5418757200241089, 'learning_rate': 0.00019616749467707596, 'epoch': 0.08}
{'loss': 1.3407, 'grad_norm': 0.5106856822967529, 'learning_rate': 0.00019609652235628107, 'epoch': 0.08}
{'loss': 1.3413, 'grad_norm': 0.5250461101531982, 'learning_rate': 0.00019602555003548616, 'epoch': 0.08}
{'loss': 1.3602, 'grad_norm': 0.5034674406051636, 'learning_rate': 0.00019595457771469127, 'epoch': 0.08}
{'loss': 1.3282, 'grad_norm': 0.5334136486053467, 'learning_rate': 0.00019588360539389639, 'epoch': 0.09}
{'loss': 1.4221, 'grad_norm': 0.5571975708007812, 'learning_rate': 0.0001958126330731015, 'epoch': 0.09}
{'loss': 1.3636, 'grad_norm': 0.48554927110671997, 'learning_rate': 0.0001957416607523066, 'epoch': 0.09}
{'loss': 1.3278, 'grad_norm': 0.5140034556388855, 'learning_rate': 0.00019567068843151172, 'epoch': 0.09}
{'loss': 1.3048, 'grad_norm': 0.5018851161003113, 'learning_rate': 0.00019559971611071684, 'epoch': 0.09}
{'loss': 1.3423, 'grad_norm': 0.543761670589447, 'learning_rate': 0.00019552874378992195, 'epoch': 0.09}
{'loss': 1.3029, 'grad_norm': 0.5353609919548035, 'learning_rate': 0.00019545777146912706, 'epoch': 0.09}
{'loss': 1.409, 'grad_norm': 0.5764626264572144, 'learning_rate': 0.00019538679914833215, 'epoch': 0.09}
{'loss': 1.3306, 'grad_norm': 0.4783156216144562, 'learning_rate': 0.00019531582682753726, 'epoch': 0.1}
{'loss': 1.4423, 'grad_norm': 0.48478803038597107, 'learning_rate': 0.00019524485450674237, 'epoch': 0.1}
{'loss': 1.2997, 'grad_norm': 0.5065445899963379, 'learning_rate': 0.00019517388218594749, 'epoch': 0.1}
{'loss': 1.3767, 'grad_norm': 0.4838726222515106, 'learning_rate': 0.0001951029098651526, 'epoch': 0.1}
{'loss': 1.305, 'grad_norm': 0.6124043464660645, 'learning_rate': 0.0001950319375443577, 'epoch': 0.1}
{'loss': 1.3477, 'grad_norm': 0.5889860391616821, 'learning_rate': 0.00019496096522356282, 'epoch': 0.1}
{'loss': 1.3736, 'grad_norm': 0.5476070046424866, 'learning_rate': 0.00019488999290276794, 'epoch': 0.1}
{'loss': 1.3518, 'grad_norm': 0.4919136166572571, 'learning_rate': 0.00019481902058197302, 'epoch': 0.11}
{'loss': 1.4115, 'grad_norm': 0.5444558262825012, 'learning_rate': 0.00019474804826117813, 'epoch': 0.11}
{'loss': 1.3419, 'grad_norm': 0.51210618019104, 'learning_rate': 0.00019467707594038327, 'epoch': 0.11}
{'loss': 1.3435, 'grad_norm': 0.5465154647827148, 'learning_rate': 0.0001946061036195884, 'epoch': 0.11}
{'loss': 1.3392, 'grad_norm': 0.4859498143196106, 'learning_rate': 0.00019453513129879347, 'epoch': 0.11}
{'loss': 1.3239, 'grad_norm': 0.48886799812316895, 'learning_rate': 0.00019446415897799859, 'epoch': 0.11}
{'loss': 1.3007, 'grad_norm': 0.514495313167572, 'learning_rate': 0.0001943931866572037, 'epoch': 0.11}
{'loss': 1.3192, 'grad_norm': 0.5247107148170471, 'learning_rate': 0.0001943222143364088, 'epoch': 0.12}
{'loss': 1.3269, 'grad_norm': 0.5341958999633789, 'learning_rate': 0.00019425124201561392, 'epoch': 0.12}
{'loss': 1.3739, 'grad_norm': 0.5308558940887451, 'learning_rate': 0.00019418026969481904, 'epoch': 0.12}
{'loss': 1.2969, 'grad_norm': 0.5067780613899231, 'learning_rate': 0.00019410929737402415, 'epoch': 0.12}
{'loss': 1.3132, 'grad_norm': 0.5011096596717834, 'learning_rate': 0.00019403832505322926, 'epoch': 0.12}
{'loss': 1.3118, 'grad_norm': 0.49596866965293884, 'learning_rate': 0.00019396735273243435, 'epoch': 0.12}
{'loss': 1.4271, 'grad_norm': 0.5615769624710083, 'learning_rate': 0.00019389638041163946, 'epoch': 0.12}
{'loss': 1.4121, 'grad_norm': 0.5133160352706909, 'learning_rate': 0.00019382540809084457, 'epoch': 0.13}
{'loss': 1.3674, 'grad_norm': 0.5177298784255981, 'learning_rate': 0.00019375443577004969, 'epoch': 0.13}
{'loss': 1.3749, 'grad_norm': 0.5397670269012451, 'learning_rate': 0.0001936834634492548, 'epoch': 0.13}
{'loss': 1.4079, 'grad_norm': 0.510032057762146, 'learning_rate': 0.0001936124911284599, 'epoch': 0.13}
{'loss': 1.3387, 'grad_norm': 0.49133965373039246, 'learning_rate': 0.00019354151880766502, 'epoch': 0.13}
{'loss': 1.3763, 'grad_norm': 0.5044322609901428, 'learning_rate': 0.00019347054648687014, 'epoch': 0.13}
{'loss': 1.342, 'grad_norm': 0.5398576259613037, 'learning_rate': 0.00019339957416607525, 'epoch': 0.13}
{'loss': 1.3398, 'grad_norm': 0.5276138782501221, 'learning_rate': 0.00019332860184528033, 'epoch': 0.14}
{'loss': 1.3678, 'grad_norm': 0.49148228764533997, 'learning_rate': 0.00019325762952448545, 'epoch': 0.14}
{'loss': 1.297, 'grad_norm': 0.5225054025650024, 'learning_rate': 0.0001931866572036906, 'epoch': 0.14}
{'loss': 1.2915, 'grad_norm': 0.5107095241546631, 'learning_rate': 0.0001931156848828957, 'epoch': 0.14}
{'loss': 1.3034, 'grad_norm': 0.5660765171051025, 'learning_rate': 0.00019304471256210079, 'epoch': 0.14}
{'loss': 1.2538, 'grad_norm': 0.5086053013801575, 'learning_rate': 0.0001929737402413059, 'epoch': 0.14}
{'loss': 1.3653, 'grad_norm': 0.5296218991279602, 'learning_rate': 0.000192902767920511, 'epoch': 0.14}
{'loss': 1.3468, 'grad_norm': 0.505626380443573, 'learning_rate': 0.00019283179559971612, 'epoch': 0.15}
{'loss': 1.3689, 'grad_norm': 0.48313605785369873, 'learning_rate': 0.0001927608232789212, 'epoch': 0.15}
{'loss': 1.3385, 'grad_norm': 0.5230417847633362, 'learning_rate': 0.00019268985095812635, 'epoch': 0.15}
{'loss': 1.4077, 'grad_norm': 0.548197865486145, 'learning_rate': 0.00019261887863733146, 'epoch': 0.15}
{'loss': 1.3333, 'grad_norm': 0.49077072739601135, 'learning_rate': 0.00019254790631653657, 'epoch': 0.15}
{'loss': 1.3019, 'grad_norm': 0.49506676197052, 'learning_rate': 0.00019247693399574166, 'epoch': 0.15}
{'loss': 1.2955, 'grad_norm': 0.5120548009872437, 'learning_rate': 0.00019240596167494677, 'epoch': 0.15}
{'loss': 1.33, 'grad_norm': 0.5009211301803589, 'learning_rate': 0.00019233498935415189, 'epoch': 0.16}
{'loss': 1.2762, 'grad_norm': 0.4983401894569397, 'learning_rate': 0.000192264017033357, 'epoch': 0.16}
{'loss': 1.2902, 'grad_norm': 0.5030891299247742, 'learning_rate': 0.0001921930447125621, 'epoch': 0.16}
{'loss': 1.3797, 'grad_norm': 0.5501623749732971, 'learning_rate': 0.00019212207239176722, 'epoch': 0.16}
{'loss': 1.2997, 'grad_norm': 0.5063967704772949, 'learning_rate': 0.00019205110007097234, 'epoch': 0.16}
{'loss': 1.274, 'grad_norm': 0.5631483793258667, 'learning_rate': 0.00019198012775017745, 'epoch': 0.16}
{'loss': 1.3115, 'grad_norm': 0.537670373916626, 'learning_rate': 0.00019190915542938254, 'epoch': 0.16}
{'loss': 1.3092, 'grad_norm': 0.541203498840332, 'learning_rate': 0.00019183818310858765, 'epoch': 0.17}
{'loss': 1.3223, 'grad_norm': 0.5539008975028992, 'learning_rate': 0.00019176721078779276, 'epoch': 0.17}
{'loss': 1.3181, 'grad_norm': 0.5102487802505493, 'learning_rate': 0.0001916962384669979, 'epoch': 0.17}
{'loss': 1.4029, 'grad_norm': 0.502543032169342, 'learning_rate': 0.00019162526614620299, 'epoch': 0.17}
{'loss': 1.308, 'grad_norm': 0.5096634030342102, 'learning_rate': 0.0001915542938254081, 'epoch': 0.17}
{'loss': 1.3109, 'grad_norm': 0.547661542892456, 'learning_rate': 0.0001914833215046132, 'epoch': 0.17}
{'loss': 1.3134, 'grad_norm': 0.4794137179851532, 'learning_rate': 0.00019141234918381832, 'epoch': 0.17}
{'loss': 1.3346, 'grad_norm': 0.542648434638977, 'learning_rate': 0.00019134137686302344, 'epoch': 0.18}
{'loss': 1.2907, 'grad_norm': 0.5438342690467834, 'learning_rate': 0.00019127040454222852, 'epoch': 0.18}
{'loss': 1.348, 'grad_norm': 0.5569918155670166, 'learning_rate': 0.00019119943222143366, 'epoch': 0.18}
{'loss': 1.3846, 'grad_norm': 0.5183106064796448, 'learning_rate': 0.00019112845990063878, 'epoch': 0.18}
{'loss': 1.2643, 'grad_norm': 0.5425500869750977, 'learning_rate': 0.0001910574875798439, 'epoch': 0.18}
{'loss': 1.2857, 'grad_norm': 0.6269490718841553, 'learning_rate': 0.00019098651525904897, 'epoch': 0.18}
{'loss': 1.3618, 'grad_norm': 0.5118828415870667, 'learning_rate': 0.00019091554293825409, 'epoch': 0.18}
{'loss': 1.3721, 'grad_norm': 0.48022595047950745, 'learning_rate': 0.0001908445706174592, 'epoch': 0.19}
{'loss': 1.2895, 'grad_norm': 0.5537993907928467, 'learning_rate': 0.0001907735982966643, 'epoch': 0.19}
{'loss': 1.3227, 'grad_norm': 0.5127624869346619, 'learning_rate': 0.00019070262597586942, 'epoch': 0.19}
{'loss': 1.2652, 'grad_norm': 0.49052900075912476, 'learning_rate': 0.00019063165365507454, 'epoch': 0.19}
{'loss': 1.2807, 'grad_norm': 0.499605268239975, 'learning_rate': 0.00019056068133427965, 'epoch': 0.19}
{'loss': 1.2387, 'grad_norm': 0.514790952205658, 'learning_rate': 0.00019048970901348476, 'epoch': 0.19}
{'loss': 1.3021, 'grad_norm': 0.5162804126739502, 'learning_rate': 0.00019041873669268985, 'epoch': 0.19}
{'loss': 1.3652, 'grad_norm': 0.5387127995491028, 'learning_rate': 0.00019034776437189496, 'epoch': 0.2}
{'loss': 1.3704, 'grad_norm': 0.5182953476905823, 'learning_rate': 0.00019027679205110007, 'epoch': 0.2}
{'loss': 1.2932, 'grad_norm': 0.5148733854293823, 'learning_rate': 0.00019020581973030519, 'epoch': 0.2}
{'loss': 1.3298, 'grad_norm': 0.5453186631202698, 'learning_rate': 0.0001901348474095103, 'epoch': 0.2}
{'loss': 1.3241, 'grad_norm': 0.49780547618865967, 'learning_rate': 0.0001900638750887154, 'epoch': 0.2}
{'loss': 1.3003, 'grad_norm': 0.563477635383606, 'learning_rate': 0.00018999290276792052, 'epoch': 0.2}
{'loss': 1.2782, 'grad_norm': 0.6826238036155701, 'learning_rate': 0.00018992193044712564, 'epoch': 0.2}
{'loss': 1.2525, 'grad_norm': 0.5311530828475952, 'learning_rate': 0.00018985095812633072, 'epoch': 0.21}
{'loss': 1.2451, 'grad_norm': 0.5208378434181213, 'learning_rate': 0.00018977998580553584, 'epoch': 0.21}
{'loss': 1.2783, 'grad_norm': 0.5175229907035828, 'learning_rate': 0.00018970901348474095, 'epoch': 0.21}
{'loss': 1.3475, 'grad_norm': 0.5157881379127502, 'learning_rate': 0.0001896380411639461, 'epoch': 0.21}
{'loss': 1.3182, 'grad_norm': 0.510566234588623, 'learning_rate': 0.00018956706884315117, 'epoch': 0.21}
{'loss': 1.3495, 'grad_norm': 0.520010232925415, 'learning_rate': 0.00018949609652235629, 'epoch': 0.21}
{'loss': 1.3128, 'grad_norm': 0.5622514486312866, 'learning_rate': 0.0001894251242015614, 'epoch': 0.21}
{'loss': 1.3203, 'grad_norm': 0.5312150120735168, 'learning_rate': 0.0001893541518807665, 'epoch': 0.22}
{'loss': 1.3155, 'grad_norm': 0.5105769634246826, 'learning_rate': 0.00018928317955997162, 'epoch': 0.22}
{'loss': 1.2616, 'grad_norm': 0.5248401165008545, 'learning_rate': 0.0001892122072391767, 'epoch': 0.22}
{'loss': 1.2817, 'grad_norm': 0.5388246774673462, 'learning_rate': 0.00018914123491838185, 'epoch': 0.22}
{'loss': 1.2676, 'grad_norm': 0.5068986415863037, 'learning_rate': 0.00018907026259758696, 'epoch': 0.22}
{'loss': 1.3285, 'grad_norm': 0.5076289176940918, 'learning_rate': 0.00018899929027679208, 'epoch': 0.22}
{'loss': 1.2746, 'grad_norm': 0.5198759436607361, 'learning_rate': 0.00018892831795599716, 'epoch': 0.22}
{'loss': 1.3505, 'grad_norm': 0.5820220112800598, 'learning_rate': 0.00018885734563520227, 'epoch': 0.23}
{'loss': 1.2784, 'grad_norm': 0.5358129143714905, 'learning_rate': 0.0001887863733144074, 'epoch': 0.23}
{'loss': 1.3348, 'grad_norm': 0.5665339827537537, 'learning_rate': 0.0001887154009936125, 'epoch': 0.23}
{'loss': 1.3123, 'grad_norm': 0.5267711877822876, 'learning_rate': 0.0001886444286728176, 'epoch': 0.23}
{'loss': 1.274, 'grad_norm': 0.5009903907775879, 'learning_rate': 0.00018857345635202272, 'epoch': 0.23}
{'loss': 1.3001, 'grad_norm': 0.6048489212989807, 'learning_rate': 0.00018850248403122784, 'epoch': 0.23}
{'loss': 1.2895, 'grad_norm': 0.5325021147727966, 'learning_rate': 0.00018843151171043295, 'epoch': 0.23}
{'loss': 1.315, 'grad_norm': 0.6042301654815674, 'learning_rate': 0.00018836053938963804, 'epoch': 0.24}
{'loss': 1.2663, 'grad_norm': 0.567377507686615, 'learning_rate': 0.00018828956706884315, 'epoch': 0.24}
{'loss': 1.3094, 'grad_norm': 0.5558852553367615, 'learning_rate': 0.00018821859474804826, 'epoch': 0.24}
{'loss': 1.2863, 'grad_norm': 0.5398116707801819, 'learning_rate': 0.0001881476224272534, 'epoch': 0.24}
{'loss': 1.2846, 'grad_norm': 0.5448858141899109, 'learning_rate': 0.0001880766501064585, 'epoch': 0.24}
{'loss': 1.2498, 'grad_norm': 0.5054113268852234, 'learning_rate': 0.0001880056777856636, 'epoch': 0.24}
{'loss': 1.2958, 'grad_norm': 0.5151749849319458, 'learning_rate': 0.0001879347054648687, 'epoch': 0.24}
{'loss': 1.3349, 'grad_norm': 0.5271678566932678, 'learning_rate': 0.00018786373314407382, 'epoch': 0.25}
{'loss': 1.2965, 'grad_norm': 0.5065703392028809, 'learning_rate': 0.0001877927608232789, 'epoch': 0.25}
{'loss': 1.3322, 'grad_norm': 0.5131989121437073, 'learning_rate': 0.00018772178850248402, 'epoch': 0.25}
{'loss': 1.2557, 'grad_norm': 0.5324966907501221, 'learning_rate': 0.00018765081618168916, 'epoch': 0.25}
{'loss': 1.352, 'grad_norm': 0.5682156085968018, 'learning_rate': 0.00018757984386089428, 'epoch': 0.25}
{'loss': 1.3167, 'grad_norm': 0.5812451243400574, 'learning_rate': 0.00018750887154009936, 'epoch': 0.25}
{'loss': 1.3982, 'grad_norm': 0.5220502018928528, 'learning_rate': 0.00018743789921930447, 'epoch': 0.25}
{'loss': 1.2545, 'grad_norm': 0.519579291343689, 'learning_rate': 0.0001873669268985096, 'epoch': 0.26}
{'loss': 1.2739, 'grad_norm': 0.5515694618225098, 'learning_rate': 0.0001872959545777147, 'epoch': 0.26}
{'loss': 1.3223, 'grad_norm': 0.494443416595459, 'learning_rate': 0.0001872249822569198, 'epoch': 0.26}
{'loss': 1.2643, 'grad_norm': 0.5370269417762756, 'learning_rate': 0.00018715400993612493, 'epoch': 0.26}
{'loss': 1.2543, 'grad_norm': 0.5089952945709229, 'learning_rate': 0.00018708303761533004, 'epoch': 0.26}
{'loss': 1.3621, 'grad_norm': 0.5908558964729309, 'learning_rate': 0.00018701206529453515, 'epoch': 0.26}
{'loss': 1.2589, 'grad_norm': 0.5236672163009644, 'learning_rate': 0.00018694109297374026, 'epoch': 0.26}
{'loss': 1.2567, 'grad_norm': 0.5075586438179016, 'learning_rate': 0.00018687012065294535, 'epoch': 0.26}
{'loss': 1.253, 'grad_norm': 0.484017938375473, 'learning_rate': 0.00018679914833215046, 'epoch': 0.27}
{'loss': 1.2903, 'grad_norm': 0.49491867423057556, 'learning_rate': 0.00018672817601135557, 'epoch': 0.27}
{'loss': 1.3576, 'grad_norm': 0.5130958557128906, 'learning_rate': 0.0001866572036905607, 'epoch': 0.27}
{'loss': 1.259, 'grad_norm': 0.5242413282394409, 'learning_rate': 0.0001865862313697658, 'epoch': 0.27}
{'loss': 1.2892, 'grad_norm': 0.5665105581283569, 'learning_rate': 0.0001865152590489709, 'epoch': 0.27}
{'loss': 1.3102, 'grad_norm': 0.5331645011901855, 'learning_rate': 0.00018644428672817603, 'epoch': 0.27}
{'loss': 1.2915, 'grad_norm': 0.4966602921485901, 'learning_rate': 0.00018637331440738114, 'epoch': 0.27}
{'loss': 1.258, 'grad_norm': 0.5544999837875366, 'learning_rate': 0.00018630234208658622, 'epoch': 0.28}
{'loss': 1.3164, 'grad_norm': 0.520144522190094, 'learning_rate': 0.00018623136976579134, 'epoch': 0.28}
{'loss': 1.344, 'grad_norm': 0.5174679160118103, 'learning_rate': 0.00018616039744499648, 'epoch': 0.28}
{'loss': 1.3103, 'grad_norm': 0.4990881383419037, 'learning_rate': 0.0001860894251242016, 'epoch': 0.28}
{'loss': 1.2647, 'grad_norm': 0.5118770003318787, 'learning_rate': 0.00018601845280340667, 'epoch': 0.28}
{'loss': 1.336, 'grad_norm': 0.5196303725242615, 'learning_rate': 0.0001859474804826118, 'epoch': 0.28}
{'loss': 1.2411, 'grad_norm': 0.5092043280601501, 'learning_rate': 0.0001858765081618169, 'epoch': 0.28}
{'loss': 1.2752, 'grad_norm': 0.5203234553337097, 'learning_rate': 0.000185805535841022, 'epoch': 0.29}
{'loss': 1.2102, 'grad_norm': 0.5390545725822449, 'learning_rate': 0.0001857345635202271, 'epoch': 0.29}
{'loss': 1.3237, 'grad_norm': 0.5045953392982483, 'learning_rate': 0.00018566359119943224, 'epoch': 0.29}
{'loss': 1.2755, 'grad_norm': 0.5172394514083862, 'learning_rate': 0.00018559261887863735, 'epoch': 0.29}
{'loss': 1.3713, 'grad_norm': 0.5241258144378662, 'learning_rate': 0.00018552164655784246, 'epoch': 0.29}
{'loss': 1.2301, 'grad_norm': 0.541176438331604, 'learning_rate': 0.00018545067423704755, 'epoch': 0.29}
{'loss': 1.2682, 'grad_norm': 0.500068187713623, 'learning_rate': 0.00018537970191625266, 'epoch': 0.29}
{'loss': 1.2505, 'grad_norm': 0.5059691071510315, 'learning_rate': 0.00018530872959545777, 'epoch': 0.3}
{'loss': 1.2387, 'grad_norm': 0.49532344937324524, 'learning_rate': 0.0001852377572746629, 'epoch': 0.3}
{'loss': 1.3048, 'grad_norm': 0.6257210373878479, 'learning_rate': 0.000185166784953868, 'epoch': 0.3}
{'loss': 1.3693, 'grad_norm': 0.5715426206588745, 'learning_rate': 0.0001850958126330731, 'epoch': 0.3}
{'loss': 1.2703, 'grad_norm': 0.5583224296569824, 'learning_rate': 0.00018502484031227823, 'epoch': 0.3}
{'loss': 1.3016, 'grad_norm': 0.6376559138298035, 'learning_rate': 0.00018495386799148334, 'epoch': 0.3}
{'loss': 1.3551, 'grad_norm': 0.535058856010437, 'learning_rate': 0.00018488289567068845, 'epoch': 0.3}
{'loss': 1.2762, 'grad_norm': 0.5314571857452393, 'learning_rate': 0.00018481192334989354, 'epoch': 0.31}
{'loss': 1.2742, 'grad_norm': 0.5577436089515686, 'learning_rate': 0.00018474095102909865, 'epoch': 0.31}
{'loss': 1.3804, 'grad_norm': 0.5784611701965332, 'learning_rate': 0.0001846699787083038, 'epoch': 0.31}
{'loss': 1.2978, 'grad_norm': 0.5190976858139038, 'learning_rate': 0.00018459900638750887, 'epoch': 0.31}
{'loss': 1.3462, 'grad_norm': 0.5705554485321045, 'learning_rate': 0.000184528034066714, 'epoch': 0.31}
{'loss': 1.3275, 'grad_norm': 0.5286474227905273, 'learning_rate': 0.0001844570617459191, 'epoch': 0.31}
{'loss': 1.2601, 'grad_norm': 0.5056504607200623, 'learning_rate': 0.0001843860894251242, 'epoch': 0.31}
{'loss': 1.2604, 'grad_norm': 0.5417407751083374, 'learning_rate': 0.00018431511710432933, 'epoch': 0.32}
{'loss': 1.2505, 'grad_norm': 0.5213840007781982, 'learning_rate': 0.0001842441447835344, 'epoch': 0.32}
{'loss': 1.2911, 'grad_norm': 0.5501871109008789, 'learning_rate': 0.00018417317246273952, 'epoch': 0.32}
{'loss': 1.2829, 'grad_norm': 0.561215341091156, 'learning_rate': 0.00018410220014194466, 'epoch': 0.32}
{'loss': 1.2713, 'grad_norm': 0.5201948285102844, 'learning_rate': 0.00018403122782114978, 'epoch': 0.32}
{'loss': 1.2533, 'grad_norm': 0.5538742542266846, 'learning_rate': 0.00018396025550035486, 'epoch': 0.32}
{'loss': 1.3244, 'grad_norm': 0.5249223113059998, 'learning_rate': 0.00018388928317955997, 'epoch': 0.32}
{'loss': 1.2735, 'grad_norm': 0.5145981311798096, 'learning_rate': 0.0001838183108587651, 'epoch': 0.33}
{'loss': 1.2238, 'grad_norm': 0.5346860885620117, 'learning_rate': 0.0001837473385379702, 'epoch': 0.33}
